Date,Change.L,C_1,O_1,H_1,L_1,V_1,C_2,O_2,H_2,L_2,V_2,C_3,O_3,H_3,L_3,V_3,C_4,O_4,H_4,L_4,V_4,C_5,O_5,H_5,L_5,V_5
28/10/2021,-0.45,-5.03,-2.13,0.18,-4.49,91.31,-2.14,3.36,1.35,0.69,16.18,3.36,-2.07,1.21,2.62,-5.17,-2.06,4.98,0.35,0.69,4.23,4.98,-2.05,0.13,1.09,-25.62
27/10/2021,-4.49,-2.14,3.36,1.35,0.69,16.18,3.36,-2.07,1.21,2.62,-5.17,-2.06,4.98,0.35,0.69,4.23,4.98,-2.05,0.13,1.09,-25.62,-2.05,-2.56,-4.64,-3.3,-42.56
26/10/2021,0.69,3.36,-2.07,1.21,2.62,-5.17,-2.06,4.98,0.35,0.69,4.23,4.98,-2.05,0.13,1.09,-25.62,-2.05,-2.56,-4.64,-3.3,-42.56,-2.54,7.32,4.77,5.2,51.59
25/10/2021,2.62,-2.06,4.98,0.35,0.69,4.23,4.98,-2.05,0.13,1.09,-25.62,-2.05,-2.56,-4.64,-3.3,-42.56,-2.54,7.32,4.77,5.2,51.59,7.3,3.51,7.31,2.58,53.92
24/10/2021,0.69,4.98,-2.05,0.13,1.09,-25.62,-2.05,-2.56,-4.64,-3.3,-42.56,-2.54,7.32,4.77,5.2,51.59,7.3,3.51,7.31,2.58,53.92,3.45,-2.68,-0.2,1.3,-15.5
23/10/2021,1.09,-2.05,-2.56,-4.64,-3.3,-42.56,-2.54,7.32,4.77,5.2,51.59,7.3,3.51,7.31,2.58,53.92,3.45,-2.68,-0.2,1.3,-15.5,-2.55,0.55,-0.65,0.58,6.38
22/10/2021,-3.3,-2.54,7.32,4.77,5.2,51.59,7.3,3.51,7.31,2.58,53.92,3.45,-2.68,-0.2,1.3,-15.5,-2.55,0.55,-0.65,0.58,6.38,0.47,-1.07,-1.26,-3.68,3.02
21/10/2021,5.2,7.3,3.51,7.31,2.58,53.92,3.45,-2.68,-0.2,1.3,-15.5,-2.55,0.55,-0.65,0.58,6.38,0.47,-1.07,-1.26,-3.68,3.02,-1.02,2.08,1.6,1.86,-26.84
20/10/2021,2.58,3.45,-2.68,-0.2,1.3,-15.5,-2.55,0.55,-0.65,0.58,6.38,0.47,-1.07,-1.26,-3.68,3.02,-1.02,2.08,1.6,1.86,-26.84,2.02,5.07,2.21,4.1,3.45
19/10/2021,1.3,-2.55,0.55,-0.65,0.58,6.38,0.47,-1.07,-1.26,-3.68,3.02,-1.02,2.08,1.6,1.86,-26.84,2.02,5.07,2.21,4.1,3.45,5.08,3.33,5.77,5.04,25.11
18/10/2021,0.58,0.47,-1.07,-1.26,-3.68,3.02,-1.02,2.08,1.6,1.86,-26.84,2.02,5.07,2.21,4.1,3.45,5.08,3.33,5.77,5.04,25.11,3.36,-1.42,1.88,0.34,-8.64
17/10/2021,-3.68,-1.02,2.08,1.6,1.86,-26.84,2.02,5.07,2.21,4.1,3.45,5.08,3.33,5.77,5.04,25.11,3.36,-1.42,1.88,0.34,-8.64,-1.56,3.71,-2.13,0.68,-10.74
16/10/2021,1.86,2.02,5.07,2.21,4.1,3.45,5.08,3.33,5.77,5.04,25.11,3.36,-1.42,1.88,0.34,-8.64,-1.56,3.71,-2.13,0.68,-10.74,3.81,-4.46,0.65,-0.82,-10.98
15/10/2021,4.1,5.08,3.33,5.77,5.04,25.11,3.36,-1.42,1.88,0.34,-8.64,-1.56,3.71,-2.13,0.68,-10.74,3.81,-4.46,0.65,-0.82,-10.98,-4.45,0.41,-0.74,-3.73,65.37
14/10/2021,5.04,3.36,-1.42,1.88,0.34,-8.64,-1.56,3.71,-2.13,0.68,-10.74,3.81,-4.46,0.65,-0.82,-10.98,-4.45,0.41,-0.74,-3.73,65.37,0.42,-0.75,-1.15,0.12,-31.92
13/10/2021,0.34,-1.56,3.71,-2.13,0.68,-10.74,3.81,-4.46,0.65,-0.82,-10.98,-4.45,0.41,-0.74,-3.73,65.37,0.42,-0.75,-1.15,0.12,-31.92,-0.74,0.32,0.5,1.84,-17.49
12/10/2021,0.68,3.81,-4.46,0.65,-0.82,-10.98,-4.45,0.41,-0.74,-3.73,65.37,0.42,-0.75,-1.15,0.12,-31.92,-0.74,0.32,0.5,1.84,-17.49,0.3,1.71,0.63,3.82,-21.31
11/10/2021,-0.82,-4.45,0.41,-0.74,-3.73,65.37,0.42,-0.75,-1.15,0.12,-31.92,-0.74,0.32,0.5,1.84,-17.49,0.3,1.71,0.63,3.82,-21.31,1.65,3.9,2.44,-0.59,58.16
10/10/2021,-3.73,0.42,-0.75,-1.15,0.12,-31.92,-0.74,0.32,0.5,1.84,-17.49,0.3,1.71,0.63,3.82,-21.31,1.65,3.9,2.44,-0.59,58.16,3.97,-0.99,3.04,2.81,-19.71
9/10/2021,0.12,-0.74,0.32,0.5,1.84,-17.49,0.3,1.71,0.63,3.82,-21.31,1.65,3.9,2.44,-0.59,58.16,3.97,-0.99,3.04,2.81,-19.71,-1.01,0.84,-1.41,-2.19,28.67
8/10/2021,1.84,0.3,1.71,0.63,3.82,-21.31,1.65,3.9,2.44,-0.59,58.16,3.97,-0.99,3.04,2.81,-19.71,-1.01,0.84,-1.41,-2.19,28.67,0.84,2.41,0.51,2.47,-17.42
7/10/2021,3.82,1.65,3.9,2.44,-0.59,58.16,3.97,-0.99,3.04,2.81,-19.71,-1.01,0.84,-1.41,-2.19,28.67,0.84,2.41,0.51,2.47,-17.42,2.41,10.31,4.16,9.86,-31.74
6/10/2021,-0.59,3.97,-0.99,3.04,2.81,-19.71,-1.01,0.84,-1.41,-2.19,28.67,0.84,2.41,0.51,2.47,-17.42,2.41,10.31,4.16,9.86,-31.74,10.28,5.22,9.26,4.76,17.74
5/10/2021,2.81,-1.01,0.84,-1.41,-2.19,28.67,0.84,2.41,0.51,2.47,-17.42,2.41,10.31,4.16,9.86,-31.74,10.28,5.22,9.26,4.76,17.74,5.23,1.56,3.34,1.9,32.84
4/10/2021,-2.19,0.84,2.41,0.51,2.47,-17.42,2.41,10.31,4.16,9.86,-31.74,10.28,5.22,9.26,4.76,17.74,5.23,1.56,3.34,1.9,32.84,1.58,-4.06,-0.7,-0.24,-18.68
3/10/2021,2.47,2.41,10.31,4.16,9.86,-31.74,10.28,5.22,9.26,4.76,17.74,5.23,1.56,3.34,1.9,32.84,1.58,-4.06,-0.7,-0.24,-18.68,-4.07,-4.44,-6.15,-4.61,3.58
2/10/2021,9.86,10.28,5.22,9.26,4.76,17.74,5.23,1.56,3.34,1.9,32.84,1.58,-4.06,-0.7,-0.24,-18.68,-4.07,-4.44,-6.15,-4.61,3.58,-4.48,4.77,1.61,6.79,-34.94
1/10/2021,4.76,5.23,1.56,3.34,1.9,32.84,1.58,-4.06,-0.7,-0.24,-18.68,-4.07,-4.44,-6.15,-4.61,3.58,-4.48,4.77,1.61,6.79,-34.94,4.82,-0.21,5,-2.58,36.34
30/9/2021,1.9,1.58,-4.06,-0.7,-0.24,-18.68,-4.07,-4.44,-6.15,-4.61,3.58,-4.48,4.77,1.61,6.79,-34.94,4.82,-0.21,5,-2.58,36.34,-0.21,-7.11,-6.11,2.65,-43.94
29/9/2021,-0.24,-4.07,-4.44,-6.15,-4.61,3.58,-4.48,4.77,1.61,6.79,-34.94,4.82,-0.21,5,-2.58,36.34,-0.21,-7.11,-6.11,2.65,-43.94,-7.12,2.44,-0.46,-9.75,106.76
28/9/2021,-4.61,-4.48,4.77,1.61,6.79,-34.94,4.82,-0.21,5,-2.58,36.34,-0.21,-7.11,-6.11,2.65,-43.94,-7.12,2.44,-0.46,-9.75,106.76,2.44,11.32,2.75,10.78,-29.28
27/9/2021,6.79,4.82,-0.21,5,-2.58,36.34,-0.21,-7.11,-6.11,2.65,-43.94,-7.12,2.44,-0.46,-9.75,106.76,2.44,11.32,2.75,10.78,-29.28,11.45,-7.12,-0.45,3.04,-33.52
26/9/2021,-2.58,-0.21,-7.11,-6.11,2.65,-43.94,-7.12,2.44,-0.46,-9.75,106.76,2.44,11.32,2.75,10.78,-29.28,11.45,-7.12,-0.45,3.04,-33.52,-7.21,-10.57,-7.24,-9.28,4.07
25/9/2021,2.65,-7.12,2.44,-0.46,-9.75,106.76,2.44,11.32,2.75,10.78,-29.28,11.45,-7.12,-0.45,3.04,-33.52,-7.21,-10.57,-7.24,-9.28,4.07,-10.61,-3.13,-3.23,-10.7,180.13
24/9/2021,-9.75,2.44,11.32,2.75,10.78,-29.28,11.45,-7.12,-0.45,3.04,-33.52,-7.21,-10.57,-7.24,-9.28,4.07,-10.61,-3.13,-3.23,-10.7,180.13,-3.11,1.1,-2.37,-2.62,2.3
23/9/2021,10.78,11.45,-7.12,-0.45,3.04,-33.52,-7.21,-10.57,-7.24,-9.28,4.07,-10.61,-3.13,-3.23,-10.7,180.13,-3.11,1.1,-2.37,-2.62,2.3,1.1,-4.8,-1.47,0.57,-19.77
22/9/2021,3.04,-7.21,-10.57,-7.24,-9.28,4.07,-10.61,-3.13,-3.23,-10.7,180.13,-3.11,1.1,-2.37,-2.62,2.3,1.1,-4.8,-1.47,0.57,-19.77,-4.78,-1.17,-2.19,-3.9,282.09
21/9/2021,-9.28,-10.61,-3.13,-3.23,-10.7,180.13,-3.11,1.1,-2.37,-2.62,2.3,1.1,-4.8,-1.47,0.57,-19.77,-4.78,-1.17,-2.19,-3.9,282.09,-1.18,5.3,1.67,3.77,-75.22
20/9/2021,-10.7,-3.11,1.1,-2.37,-2.62,2.3,1.1,-4.8,-1.47,0.57,-19.77,-4.78,-1.17,-2.19,-3.9,282.09,-1.18,5.3,1.67,3.77,-75.22,5.34,4.44,5.35,2.77,9.71
19/9/2021,-2.62,1.1,-4.8,-1.47,0.57,-19.77,-4.78,-1.17,-2.19,-3.9,282.09,-1.18,5.3,1.67,3.77,-75.22,5.34,4.44,5.35,2.77,9.71,4.39,-3.62,-0.01,4.88,-46.24
18/9/2021,0.57,-4.78,-1.17,-2.19,-3.9,282.09,-1.18,5.3,1.67,3.77,-75.22,5.34,4.44,5.35,2.77,9.71,4.39,-3.62,-0.01,4.88,-46.24,-3.63,4.31,-1.16,-3.5,66.26
17/9/2021,-3.9,-1.18,5.3,1.67,3.77,-75.22,5.34,4.44,5.35,2.77,9.71,4.39,-3.62,-0.01,4.88,-46.24,-3.63,4.31,-1.16,-3.5,66.26,4.31,1.81,3.71,0.92,9.96
16/9/2021,3.77,5.34,4.44,5.35,2.77,9.71,4.39,-3.62,-0.01,4.88,-46.24,-3.63,4.31,-1.16,-3.5,66.26,4.31,1.81,3.71,0.92,9.96,1.87,-6.26,-4.77,1.46,-39.43
15/9/2021,2.77,4.39,-3.62,-0.01,4.88,-46.24,-3.63,4.31,-1.16,-3.5,66.26,4.31,1.81,3.71,0.92,9.96,1.87,-6.26,-4.77,1.46,-39.43,-6.32,-2.14,-1.44,-7.06,11.01
14/9/2021,4.88,-3.63,4.31,-1.16,-3.5,66.26,4.31,1.81,3.71,0.92,9.96,1.87,-6.26,-4.77,1.46,-39.43,-6.32,-2.14,-1.44,-7.06,11.01,-2.05,2.18,0.19,5.41,39.62
13/9/2021,-3.5,4.31,1.81,3.71,0.92,9.96,1.87,-6.26,-4.77,1.46,-39.43,-6.32,-2.14,-1.44,-7.06,11.01,-2.05,2.18,0.19,5.41,39.62,2.1,-12.8,-9.84,5.24,-68.39
12/9/2021,0.92,1.87,-6.26,-4.77,1.46,-39.43,-6.32,-2.14,-1.44,-7.06,11.01,-2.05,2.18,0.19,5.41,39.62,2.1,-12.8,-9.84,5.24,-68.39,-12.84,-0.59,-0.56,-20.85,223.06
11/9/2021,1.46,-6.32,-2.14,-1.44,-7.06,11.01,-2.05,2.18,0.19,5.41,39.62,2.1,-12.8,-9.84,5.24,-68.39,-12.84,-0.59,-0.56,-20.85,223.06,-0.59,1.67,-0.33,0.86,7.06
10/9/2021,-7.06,-2.05,2.18,0.19,5.41,39.62,2.1,-12.8,-9.84,5.24,-68.39,-12.84,-0.59,-0.56,-20.85,223.06,-0.59,1.67,-0.33,0.86,7.06,1.69,-1.35,0.32,-0.24,6.19
9/9/2021,5.41,2.1,-12.8,-9.84,5.24,-68.39,-12.84,-0.59,-0.56,-20.85,223.06,-0.59,1.67,-0.33,0.86,7.06,1.69,-1.35,0.32,-0.24,6.19,-1.3,4.03,-1.41,3.45,-43.96
8/9/2021,5.24,-12.84,-0.59,-0.56,-20.85,223.06,-0.59,1.67,-0.33,0.86,7.06,1.69,-1.35,0.32,-0.24,6.19,-1.3,4.03,-1.41,3.45,-43.96,3.96,-1.07,4.98,-0.2,29.21
7/9/2021,-20.85,-0.59,1.67,-0.33,0.86,7.06,1.69,-1.35,0.32,-0.24,6.19,-1.3,4.03,-1.41,3.45,-43.96,3.96,-1.07,4.98,-0.2,29.21,-1.21,11.58,-0.16,10,-37.25
6/9/2021,0.86,1.69,-1.35,0.32,-0.24,6.19,-1.3,4.03,-1.41,3.45,-43.96,3.96,-1.07,4.98,-0.2,29.21,-1.21,11.58,-0.16,10,-37.25,11.72,6.24,10.74,6.06,-2.63
5/9/2021,-0.24,-1.3,4.03,-1.41,3.45,-43.96,3.96,-1.07,4.98,-0.2,29.21,-1.21,11.58,-0.16,10,-37.25,11.72,6.24,10.74,6.06,-2.63,6.36,0.18,3.64,1.46,57.26
4/9/2021,3.45,3.96,-1.07,4.98,-0.2,29.21,-1.21,11.58,-0.16,10,-37.25,11.72,6.24,10.74,6.06,-2.63,6.36,0.18,3.64,1.46,57.26,0.11,-0.66,1.93,-0.31,50.15
3/9/2021,-0.2,-1.21,11.58,-0.16,10,-37.25,11.72,6.24,10.74,6.06,-2.63,6.36,0.18,3.64,1.46,57.26,0.11,-0.66,1.93,-0.31,50.15,-0.67,-0.91,-0.07,-1.77,38.08
2/9/2021,10,11.72,6.24,10.74,6.06,-2.63,6.36,0.18,3.64,1.46,57.26,0.11,-0.66,1.93,-0.31,50.15,-0.67,-0.91,-0.07,-1.77,38.08,-0.91,5.82,0.14,4.86,-44.47
1/9/2021,6.06,6.36,0.18,3.64,1.46,57.26,0.11,-0.66,1.93,-0.31,50.15,-0.67,-0.91,-0.07,-1.77,38.08,-0.91,5.82,0.14,4.86,-44.47,5.82,-4.16,0.93,0.19,608.83
31/8/2021,1.46,0.11,-0.66,1.93,-0.31,50.15,-0.67,-0.91,-0.07,-1.77,38.08,-0.91,5.82,0.14,4.86,-44.47,5.82,-4.16,0.93,0.19,608.83,-4.17,1.76,0.07,-0.75,-87.17
30/8/2021,-0.31,-0.67,-0.91,-0.07,-1.77,38.08,-0.91,5.82,0.14,4.86,-44.47,5.82,-4.16,0.93,0.19,608.83,-4.17,1.76,0.07,-0.75,-87.17,1.73,-4.53,-3.29,-2.22,-6.64
29/8/2021,-1.77,-0.91,5.82,0.14,4.86,-44.47,5.82,-4.16,0.93,0.19,608.83,-4.17,1.76,0.07,-0.75,-87.17,1.73,-4.53,-3.29,-2.22,-6.64,-4.41,2.6,-0.52,-2.51,-9.28
28/8/2021,4.86,5.82,-4.16,0.93,0.19,608.83,-4.17,1.76,0.07,-0.75,-87.17,1.73,-4.53,-3.29,-2.22,-6.64,-4.41,2.6,-0.52,-2.51,-9.28,2.49,0.44,3.16,3.29,45.79
27/8/2021,0.19,-4.17,1.76,0.07,-0.75,-87.17,1.73,-4.53,-3.29,-2.22,-6.64,-4.41,2.6,-0.52,-2.51,-9.28,2.49,0.44,3.16,3.29,45.79,0.46,-1.86,-1.07,-2.23,-2.74
26/8/2021,-0.75,1.73,-4.53,-3.29,-2.22,-6.64,-4.41,2.6,-0.52,-2.51,-9.28,2.49,0.44,3.16,3.29,45.79,0.46,-1.86,-1.07,-2.23,-2.74,-1.83,3.15,0.21,0.66,3.98
25/8/2021,-2.22,-4.41,2.6,-0.52,-2.51,-9.28,2.49,0.44,3.16,3.29,45.79,0.46,-1.86,-1.07,-2.23,-2.74,-1.83,3.15,0.21,0.66,3.98,3.12,5.57,3.61,7.33,-12.42
24/8/2021,-2.51,2.49,0.44,3.16,3.29,45.79,0.46,-1.86,-1.07,-2.23,-2.74,-1.83,3.15,0.21,0.66,3.98,3.12,5.57,3.61,7.33,-12.42,5.57,0.14,1.95,0.37,12.44
23/8/2021,3.29,0.46,-1.86,-1.07,-2.23,-2.74,-1.83,3.15,0.21,0.66,3.98,3.12,5.57,3.61,7.33,-12.42,5.57,0.14,1.95,0.37,12.44,0.08,-4.29,-5.03,-1.42,-29.18
22/8/2021,-2.23,-1.83,3.15,0.21,0.66,3.98,3.12,5.57,3.61,7.33,-12.42,5.57,0.14,1.95,0.37,12.44,0.08,-4.29,-5.03,-1.42,-29.18,-4.23,-4.85,-1.33,-4.61,23.39
21/8/2021,0.66,3.12,5.57,3.61,7.33,-12.42,5.57,0.14,1.95,0.37,12.44,0.08,-4.29,-5.03,-1.42,-29.18,-4.23,-4.85,-1.33,-4.61,23.39,-4.87,1.33,0.47,0.74,9.74
20/8/2021,7.33,5.57,0.14,1.95,0.37,12.44,0.08,-4.29,-5.03,-1.42,-29.18,-4.23,-4.85,-1.33,-4.61,23.39,-4.87,1.33,0.47,0.74,9.74,1.35,-1.74,-0.29,-2.93,18.86
19/8/2021,0.37,0.08,-4.29,-5.03,-1.42,-29.18,-4.23,-4.85,-1.33,-4.61,23.39,-4.87,1.33,0.47,0.74,9.74,1.35,-1.74,-0.29,-2.93,18.86,-1.74,9.17,0.12,5.73,-17.21
18/8/2021,-1.42,-4.23,-4.85,-1.33,-4.61,23.39,-4.87,1.33,0.47,0.74,9.74,1.35,-1.74,-0.29,-2.93,18.86,-1.74,9.17,0.12,5.73,-17.21,9.16,-3.7,2.73,1.82,-17.61
17/8/2021,-4.61,-4.87,1.33,0.47,0.74,9.74,1.35,-1.74,-0.29,-2.93,18.86,-1.74,9.17,0.12,5.73,-17.21,9.16,-3.7,2.73,1.82,-17.61,-3.79,0.61,-1.02,-4.53,1.63
16/8/2021,0.74,1.35,-1.74,-0.29,-2.93,18.86,-1.74,9.17,0.12,5.73,-17.21,9.16,-3.7,2.73,1.82,-17.61,-3.79,0.61,-1.02,-4.53,1.63,0.73,-0.69,1.17,2.12,-15.17
15/8/2021,-2.93,-1.74,9.17,0.12,5.73,-17.21,9.16,-3.7,2.73,1.82,-17.61,-3.79,0.61,-1.02,-4.53,1.63,0.73,-0.69,1.17,2.12,-15.17,-0.7,5.01,1.48,5.47,-22.22
14/8/2021,5.73,9.16,-3.7,2.73,1.82,-17.61,-3.79,0.61,-1.02,-4.53,1.63,0.73,-0.69,1.17,2.12,-15.17,-0.7,5.01,1.48,5.47,-22.22,5.01,-4.64,-0.11,-1.71,15.2
13/8/2021,1.82,-3.79,0.61,-1.02,-4.53,1.63,0.73,-0.69,1.17,2.12,-15.17,-0.7,5.01,1.48,5.47,-22.22,5.01,-4.64,-0.11,-1.71,15.2,-4.62,9.3,0.59,2.86,1827.82
12/8/2021,-4.53,0.73,-0.69,1.17,2.12,-15.17,-0.7,5.01,1.48,5.47,-22.22,5.01,-4.64,-0.11,-1.71,15.2,-4.62,9.3,0.59,2.86,1827.82,9.29,2.21,7.57,5.19,-93.88
11/8/2021,2.12,-0.7,5.01,1.48,5.47,-22.22,5.01,-4.64,-0.11,-1.71,15.2,-4.62,9.3,0.59,2.86,1827.82,9.29,2.21,7.57,5.19,-93.88,2.2,3.74,3.65,7.6,-35.76
10/8/2021,5.47,5.01,-4.64,-0.11,-1.71,15.2,-4.62,9.3,0.59,2.86,1827.82,9.29,2.21,7.57,5.19,-93.88,2.2,3.74,3.65,7.6,-35.76,3.74,8.73,2.76,2.89,34.15
9/8/2021,-1.71,-4.62,9.3,0.59,2.86,1827.82,9.29,2.21,7.57,5.19,-93.88,2.2,3.74,3.65,7.6,-35.76,3.74,8.73,2.76,2.89,34.15,8.72,-3.89,5.13,0.69,676.27
8/8/2021,2.86,9.29,2.21,7.57,5.19,-93.88,2.2,3.74,3.65,7.6,-35.76,3.74,8.73,2.76,2.89,34.15,8.72,-3.89,5.13,0.69,676.27,-3.89,2.03,-1.25,-2.71,-83.68
7/8/2021,5.19,2.2,3.74,3.65,7.6,-35.76,3.74,8.73,2.76,2.89,34.15,8.72,-3.89,5.13,0.69,676.27,-3.89,2.03,-1.25,-2.71,-83.68,2.03,0.99,-1.17,-0.07,-19.11
6/8/2021,7.6,3.74,8.73,2.76,2.89,34.15,8.72,-3.89,5.13,0.69,676.27,-3.89,2.03,-1.25,-2.71,-83.68,2.03,0.99,-1.17,-0.07,-19.11,0.95,2.84,5.67,3.86,136.65
5/8/2021,2.89,8.72,-3.89,5.13,0.69,676.27,-3.89,2.03,-1.25,-2.71,-83.68,2.03,0.99,-1.17,-0.07,-19.11,0.95,2.84,5.67,3.86,136.65,2.89,3.38,3.42,4.35,-50.77
4/8/2021,0.69,-3.89,2.03,-1.25,-2.71,-83.68,2.03,0.99,-1.17,-0.07,-19.11,0.95,2.84,5.67,3.86,136.65,2.89,3.38,3.42,4.35,-50.77,3.36,3.53,2.91,2.28,60.25
3/8/2021,-2.71,2.03,0.99,-1.17,-0.07,-19.11,0.95,2.84,5.67,3.86,136.65,2.89,3.38,3.42,4.35,-50.77,3.36,3.53,2.91,2.28,60.25,3.56,-0.03,2.31,1.02,-33.66
2/8/2021,-0.07,0.95,2.84,5.67,3.86,136.65,2.89,3.38,3.42,4.35,-50.77,3.36,3.53,2.91,2.28,60.25,3.56,-0.03,2.31,1.02,-33.66,-0.05,3.14,1.07,4.33,-22.48
1/8/2021,3.86,2.89,3.38,3.42,4.35,-50.77,3.36,3.53,2.91,2.28,60.25,3.56,-0.03,2.31,1.02,-33.66,-0.05,3.14,1.07,4.33,-22.48,3.17,1.85,-4.58,-0.99,-33.86
31/7/2021,4.35,3.36,3.53,2.91,2.28,60.25,3.56,-0.03,2.31,1.02,-33.66,-0.05,3.14,1.07,4.33,-22.48,3.17,1.85,-4.58,-0.99,-33.86,1.81,1.05,10.71,3.12,140.17
30/7/2021,2.28,3.56,-0.03,2.31,1.02,-33.66,-0.05,3.14,1.07,4.33,-22.48,3.17,1.85,-4.58,-0.99,-33.86,1.81,1.05,10.71,3.12,140.17,1.76,2.02,1.51,0.1,-13.25
29/7/2021,1.02,-0.05,3.14,1.07,4.33,-22.48,3.17,1.85,-4.58,-0.99,-33.86,1.81,1.05,10.71,3.12,140.17,1.76,2.02,1.51,0.1,-13.25,1.33,4.91,1.53,5.32,-5.67
28/7/2021,4.33,3.17,1.85,-4.58,-0.99,-33.86,1.81,1.05,10.71,3.12,140.17,1.76,2.02,1.51,0.1,-13.25,1.33,4.91,1.53,5.32,-5.67,4.89,1.5,4.23,2.46,-5.72
27/7/2021,-0.99,1.81,1.05,10.71,3.12,140.17,1.76,2.02,1.51,0.1,-13.25,1.33,4.91,1.53,5.32,-5.67,4.89,1.5,4.23,2.46,-5.72,1.51,11.67,0.68,11.01,-32.45
26/7/2021,3.12,1.76,2.02,1.51,0.1,-13.25,1.33,4.91,1.53,5.32,-5.67,4.89,1.5,4.23,2.46,-5.72,1.51,11.67,0.68,11.01,-32.45,11.67,-1.75,10.28,2.2,25.83
